epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,358.175,0.63773,0.30479,0.0017,0.98324,0.90411,0.97828,0.85037,0.59433,0.24601,0.00162,0.0008516,0.0008516,0.0008516
89,361.882,0.59928,0.27958,0.00143,0.9504,0.94497,0.97901,0.85023,0.593,0.23921,0.00163,0.0008384,0.0008384,0.0008384
90,365.59,0.67518,0.317,0.00178,0.97385,0.90959,0.97635,0.81693,0.713,0.27308,0.00206,0.0008252,0.0008252,0.0008252
91,369.303,0.69508,0.32792,0.00173,0.97244,0.92329,0.97733,0.85521,0.58792,0.24302,0.00169,0.000812,0.000812,0.000812
92,373.109,0.69738,0.32992,0.00174,0.98949,0.90411,0.98159,0.8137,0.67396,0.27175,0.002,0.0007988,0.0007988,0.0007988
93,376.763,0.72184,0.33286,0.00189,0.98202,0.90959,0.97933,0.8431,0.60535,0.25332,0.00179,0.0007856,0.0007856,0.0007856
94,380.431,0.67722,0.32028,0.00183,0.9874,0.91233,0.98363,0.82833,0.62198,0.25711,0.00191,0.0007724,0.0007724,0.0007724
95,384.09,0.65087,0.30737,0.00154,0.98252,0.91781,0.98452,0.84456,0.57467,0.24605,0.00168,0.0007592,0.0007592,0.0007592
96,387.895,0.63409,0.2881,0.00155,0.95875,0.93425,0.98333,0.85553,0.56178,0.23865,0.00156,0.000746,0.000746,0.000746
97,391.576,0.59807,0.27036,0.00146,0.95788,0.93469,0.97888,0.86397,0.53027,0.23392,0.00153,0.0007328,0.0007328,0.0007328
98,395.323,0.60832,0.26385,0.00149,0.97405,0.92552,0.97796,0.8696,0.52015,0.22487,0.00147,0.0007196,0.0007196,0.0007196
99,399.087,0.57634,0.27369,0.00139,0.96586,0.93004,0.97851,0.87471,0.50772,0.2262,0.00141,0.0007064,0.0007064,0.0007064
100,402.93,0.60655,0.27741,0.00154,0.96596,0.93308,0.97809,0.84087,0.61015,0.25935,0.00197,0.0006932,0.0006932,0.0006932
101,406.661,0.63216,0.31327,0.00152,0.94812,0.95131,0.97793,0.85138,0.57042,0.25028,0.00161,0.00068,0.00068,0.00068
102,410.344,0.62642,0.28865,0.00158,0.94922,0.94795,0.97753,0.86759,0.51437,0.23336,0.00145,0.0006668,0.0006668,0.0006668
103,414.107,0.62887,0.29163,0.00156,0.9719,0.92055,0.98266,0.85108,0.57296,0.25154,0.00173,0.0006536,0.0006536,0.0006536
104,417.9,0.61547,0.29887,0.00162,0.98009,0.91233,0.97577,0.86142,0.52625,0.245,0.00153,0.0006404,0.0006404,0.0006404
105,421.567,0.60835,0.2971,0.00154,0.96141,0.91781,0.97557,0.86461,0.52624,0.25295,0.00149,0.0006272,0.0006272,0.0006272
106,425.317,0.6108,0.29515,0.00161,0.94931,0.94247,0.9818,0.86455,0.54731,0.25587,0.00155,0.000614,0.000614,0.000614
107,429.094,0.64195,0.3067,0.00155,0.95333,0.94521,0.98392,0.84751,0.59572,0.2511,0.00175,0.0006008,0.0006008,0.0006008
108,432.841,0.60456,0.27362,0.00147,0.95058,0.94854,0.98263,0.86294,0.55556,0.25618,0.00154,0.0005876,0.0005876,0.0005876
109,436.613,0.57842,0.27545,0.00143,0.95525,0.93565,0.98304,0.85358,0.58723,0.25889,0.00164,0.0005744,0.0005744,0.0005744
110,440.41,0.61085,0.29606,0.00153,0.95023,0.94158,0.98328,0.86774,0.52532,0.24334,0.00149,0.0005612,0.0005612,0.0005612
111,444.067,0.61358,0.28426,0.00147,0.94612,0.94795,0.98281,0.86601,0.53363,0.24138,0.00149,0.000548,0.000548,0.000548
112,447.803,0.56042,0.25998,0.00138,0.95313,0.94711,0.98335,0.86943,0.51741,0.2357,0.00144,0.0005348,0.0005348,0.0005348
