epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,144.316,0.60984,0.41447,0.83855,0.94978,0.93973,0.97744,0.84803,0.5648,0.37144,0.788,0.0011156,0.0011156,0.0011156
69,146.115,0.59757,0.41106,0.82608,0.93888,0.94521,0.98105,0.83492,0.6355,0.37103,0.79501,0.0011024,0.0011024,0.0011024
70,147.903,0.59411,0.39909,0.83085,0.96278,0.92055,0.97729,0.85106,0.57232,0.35409,0.78857,0.0010892,0.0010892,0.0010892
71,149.712,0.56839,0.39322,0.82275,0.93526,0.95616,0.98447,0.8355,0.65879,0.37081,0.7977,0.001076,0.001076,0.001076
72,151.538,0.57386,0.39296,0.8225,0.93381,0.96712,0.98644,0.8241,0.62902,0.36526,0.7962,0.0010628,0.0010628,0.0010628
73,153.352,0.60681,0.39181,0.82878,0.93966,0.9589,0.98187,0.79967,0.69674,0.40874,0.80667,0.0010496,0.0010496,0.0010496
74,155.174,0.60592,0.39797,0.82002,0.93206,0.97727,0.98755,0.83179,0.57477,0.3742,0.78998,0.0010364,0.0010364,0.0010364
75,156.998,0.62093,0.39592,0.82594,0.95525,0.93582,0.98517,0.79134,0.74663,0.39653,0.8084,0.0010232,0.0010232,0.0010232
76,158.79,0.61956,0.40011,0.82699,0.94052,0.95302,0.97831,0.86189,0.52764,0.3469,0.78268,0.00101,0.00101,0.00101
77,160.58,0.59019,0.39883,0.8202,0.96876,0.93458,0.98698,0.82861,0.62001,0.36095,0.79512,0.0009968,0.0009968,0.0009968
78,162.379,0.58629,0.39314,0.82647,0.96196,0.93973,0.98553,0.85806,0.50706,0.33778,0.7812,0.0009836,0.0009836,0.0009836
79,164.179,0.58661,0.38548,0.82397,0.95836,0.94579,0.98584,0.84849,0.54156,0.3446,0.78555,0.0009704,0.0009704,0.0009704
80,165.969,0.59721,0.3944,0.82431,0.95928,0.93151,0.98413,0.84487,0.58047,0.36009,0.79115,0.0009572,0.0009572,0.0009572
81,167.706,0.58498,0.39171,0.82223,0.94851,0.93425,0.97947,0.85599,0.52379,0.33925,0.78549,0.000944,0.000944,0.000944
82,169.549,0.5982,0.40135,0.829,0.95354,0.93425,0.97898,0.86752,0.51506,0.33686,0.78397,0.0009308,0.0009308,0.0009308
83,171.343,0.55514,0.37467,0.82102,0.93588,0.9589,0.9806,0.8624,0.53032,0.34323,0.78446,0.0009176,0.0009176,0.0009176
84,173.172,0.57154,0.38644,0.82177,0.94047,0.95223,0.98313,0.84023,0.58493,0.34851,0.79009,0.0009044,0.0009044,0.0009044
85,174.933,0.58457,0.39225,0.83279,0.95332,0.95111,0.98657,0.8487,0.55591,0.34029,0.78483,0.0008912,0.0008912,0.0008912
86,176.707,0.55884,0.37399,0.81809,0.94636,0.96986,0.98897,0.79892,0.69001,0.36291,0.80168,0.000878,0.000878,0.000878
87,178.522,0.59346,0.38722,0.82574,0.93364,0.96986,0.98862,0.8475,0.52637,0.33121,0.78485,0.0008648,0.0008648,0.0008648
88,180.348,0.57823,0.39667,0.82602,0.94665,0.96438,0.97974,0.86221,0.52273,0.3324,0.78419,0.0008516,0.0008516,0.0008516
89,182.084,0.54474,0.3665,0.81492,0.93191,0.9589,0.98702,0.85369,0.51889,0.34844,0.78383,0.0008384,0.0008384,0.0008384
90,183.872,0.58217,0.38226,0.82868,0.93557,0.95616,0.98694,0.8536,0.54906,0.34397,0.78793,0.0008252,0.0008252,0.0008252
91,185.728,0.56906,0.38033,0.82463,0.93889,0.94795,0.98614,0.84792,0.55641,0.33855,0.78639,0.000812,0.000812,0.000812
92,187.447,0.55416,0.36424,0.81815,0.93843,0.96712,0.98567,0.86866,0.52851,0.33041,0.78299,0.0007988,0.0007988,0.0007988
